Sector,Growth Rate,YearQuarter,Value
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2021-Q3,32785.0
"Transport, Storage & Communication",LOW,2021-Q3,19969.0
"Transport, Storage & Communication",MEDIUM,2021-Q3,19969.0
"Transport, Storage & Communication",HIGH,2021-Q3,19969.0
Real Estate,LOW,2021-Q3,29032.0
Real Estate,MEDIUM,2021-Q3,29032.0
Real Estate,HIGH,2021-Q3,29032.0
"Finance, Insurance and Business services",LOW,2021-Q3,25132.0
"Finance, Insurance and Business services",MEDIUM,2021-Q3,25132.0
"Finance, Insurance and Business services",HIGH,2021-Q3,25132.0
"Community, Social & Personal Services",LOW,2021-Q3,14765.0
"Community, Social & Personal Services",MEDIUM,2021-Q3,14765.0
"Community, Social & Personal Services",HIGH,2021-Q3,14765.0
Government Activities,LOW,2021-Q3,71425.0
Government Activities,MEDIUM,2021-Q3,71425.0
Government Activities,HIGH,2021-Q3,71425.0
Riyadh GDP,LOW,2021-Q3,271167.0
Riyadh GDP,MEDIUM,2021-Q3,271167.0
Riyadh GDP,HIGH,2021-Q3,271167.0
Saudi Arabia GDP,LOW,2021-Q3,822876.0
Saudi Arabia GDP,MEDIUM,2021-Q3,822876.0
Saudi Arabia GDP,HIGH,2021-Q3,822876.0
"Agriculture, Forestry & Fishing",LOW,2021-Q4,8227.0
"Agriculture, Forestry & Fishing",MEDIUM,2021-Q4,8227.0
"Agriculture, Forestry & Fishing",HIGH,2021-Q4,8227.0
Mining & Quarrying,LOW,2021-Q4,13038.0
Mining & Quarrying,MEDIUM,2021-Q4,13038.0
Mining & Quarrying,HIGH,2021-Q4,13038.0
Manufacturing,LOW,2021-Q4,36565.0
Manufacturing,MEDIUM,2021-Q4,36565.0
Manufacturing,HIGH,2021-Q4,36565.0
"Electricity, Gas and Water",LOW,2021-Q4,5652.0
"Electricity, Gas and Water",MEDIUM,2021-Q4,5652.0
"Electricity, Gas and Water",HIGH,2021-Q4,5652.0
Construction,LOW,2021-Q4,12454.0
Construction,MEDIUM,2021-Q4,12454.0
Construction,HIGH,2021-Q4,12454.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2021-Q4,30828.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2021-Q4,30828.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2021-Q4,30828.0
"Transport, Storage & Communication",LOW,2021-Q4,18921.0
"Transport, Storage & Communication",MEDIUM,2021-Q4,18921.0
"Transport, Storage & Communication",HIGH,2021-Q4,18921.0
Real Estate,LOW,2021-Q4,29090.0
Real Estate,MEDIUM,2021-Q4,29090.0
Real Estate,HIGH,2021-Q4,29090.0
"Finance, Insurance and Business services",LOW,2021-Q4,24642.0
"Finance, Insurance and Business services",MEDIUM,2021-Q4,24642.0
"Finance, Insurance and Business services",HIGH,2021-Q4,24642.0
"Community, Social & Personal Services",LOW,2021-Q4,14477.0
"Community, Social & Personal Services",MEDIUM,2021-Q4,14477.0
"Community, Social & Personal Services",HIGH,2021-Q4,14477.0
Government Activities,LOW,2021-Q4,65856.0
Government Activities,MEDIUM,2021-Q4,65856.0
Government Activities,HIGH,2021-Q4,65856.0
Riyadh GDP,LOW,2021-Q4,261966.0
Riyadh GDP,MEDIUM,2021-Q4,261966.0
Riyadh GDP,HIGH,2021-Q4,261966.0
Saudi Arabia GDP,LOW,2021-Q4,839529.0
Saudi Arabia GDP,MEDIUM,2021-Q4,839529.0
Saudi Arabia GDP,HIGH,2021-Q4,839529.0
"Agriculture, Forestry & Fishing",LOW,2022-Q1,9659.0
"Agriculture, Forestry & Fishing",MEDIUM,2022-Q1,9659.0
"Agriculture, Forestry & Fishing",HIGH,2022-Q1,9659.0
Mining & Quarrying,LOW,2022-Q1,18623.0
Mining & Quarrying,MEDIUM,2022-Q1,18623.0
Mining & Quarrying,HIGH,2022-Q1,18623.0
Manufacturing,LOW,2022-Q1,39661.0
Manufacturing,MEDIUM,2022-Q1,39661.0
Manufacturing,HIGH,2022-Q1,39661.0
"Electricity, Gas and Water",LOW,2022-Q1,5840.0
"Electricity, Gas and Water",MEDIUM,2022-Q1,5840.0
"Electricity, Gas and Water",HIGH,2022-Q1,5840.0
Construction,LOW,2022-Q1,14193.0
Construction,MEDIUM,2022-Q1,14193.0
Construction,HIGH,2022-Q1,14193.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2022-Q1,32857.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2022-Q1,32857.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2022-Q1,32857.0
"Transport, Storage & Communication",LOW,2022-Q1,20052.0
"Transport, Storage & Communication",MEDIUM,2022-Q1,20052.0
"Transport, Storage & Communication",HIGH,2022-Q1,20052.0
Real Estate,LOW,2022-Q1,28520.0
Real Estate,MEDIUM,2022-Q1,28520.0
Real Estate,HIGH,2022-Q1,28520.0
"Finance, Insurance and Business services",LOW,2022-Q1,26801.0
"Finance, Insurance and Business services",MEDIUM,2022-Q1,26801.0
"Finance, Insurance and Business services",HIGH,2022-Q1,26801.0
"Community, Social & Personal Services",LOW,2022-Q1,15273.0
"Community, Social & Personal Services",MEDIUM,2022-Q1,15273.0
"Community, Social & Personal Services",HIGH,2022-Q1,15273.0
Government Activities,LOW,2022-Q1,76596.0
Government Activities,MEDIUM,2022-Q1,76596.0
Government Activities,HIGH,2022-Q1,76596.0
Riyadh GDP,LOW,2022-Q1,291491.0
Riyadh GDP,MEDIUM,2022-Q1,291491.0
Riyadh GDP,HIGH,2022-Q1,291491.0
Saudi Arabia GDP,LOW,2022-Q1,858084.0
Saudi Arabia GDP,MEDIUM,2022-Q1,858084.0
Saudi Arabia GDP,HIGH,2022-Q1,858084.0
"Agriculture, Forestry & Fishing",LOW,2022-Q2,12665.0
"Agriculture, Forestry & Fishing",MEDIUM,2022-Q2,12665.0
"Agriculture, Forestry & Fishing",HIGH,2022-Q2,12665.0
Mining & Quarrying,LOW,2022-Q2,18767.0
Mining & Quarrying,MEDIUM,2022-Q2,18767.0
Mining & Quarrying,HIGH,2022-Q2,18767.0
Manufacturing,LOW,2022-Q2,40055.0
Manufacturing,MEDIUM,2022-Q2,40055.0
Manufacturing,HIGH,2022-Q2,40055.0
"Electricity, Gas and Water",LOW,2022-Q2,5854.0
"Electricity, Gas and Water",MEDIUM,2022-Q2,5854.0
"Electricity, Gas and Water",HIGH,2022-Q2,5854.0
Construction,LOW,2022-Q2,16420.0
Construction,MEDIUM,2022-Q2,16420.0
Construction,HIGH,2022-Q2,16420.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2022-Q2,30399.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2022-Q2,30399.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2022-Q2,30399.0
"Transport, Storage & Communication",LOW,2022-Q2,21816.0
"Transport, Storage & Communication",MEDIUM,2022-Q2,21816.0
"Transport, Storage & Communication",HIGH,2022-Q2,21816.0
Real Estate,LOW,2022-Q2,27172.0
Real Estate,MEDIUM,2022-Q2,27172.0
Real Estate,HIGH,2022-Q2,27172.0
"Finance, Insurance and Business services",LOW,2022-Q2,27303.0
"Finance, Insurance and Business services",MEDIUM,2022-Q2,27303.0
"Finance, Insurance and Business services",HIGH,2022-Q2,27303.0
"Community, Social & Personal Services",LOW,2022-Q2,15212.0
"Community, Social & Personal Services",MEDIUM,2022-Q2,15212.0
"Community, Social & Personal Services",HIGH,2022-Q2,15212.0
Government Activities,LOW,2022-Q2,85620.0
Government Activities,MEDIUM,2022-Q2,85620.0
Government Activities,HIGH,2022-Q2,85620.0
Riyadh GDP,LOW,2022-Q2,305012.0
Riyadh GDP,MEDIUM,2022-Q2,305012.0
Riyadh GDP,HIGH,2022-Q2,305012.0
Saudi Arabia GDP,LOW,2022-Q2,868443.0
Saudi Arabia GDP,MEDIUM,2022-Q2,868443.0
Saudi Arabia GDP,HIGH,2022-Q2,868443.0
"Agriculture, Forestry & Fishing",LOW,2022-Q3,13438.0
"Agriculture, Forestry & Fishing",MEDIUM,2022-Q3,13438.0
"Agriculture, Forestry & Fishing",HIGH,2022-Q3,13438.0
Mining & Quarrying,LOW,2022-Q3,16797.0
Mining & Quarrying,MEDIUM,2022-Q3,16797.0
Mining & Quarrying,HIGH,2022-Q3,16797.0
Manufacturing,LOW,2022-Q3,41500.0
Manufacturing,MEDIUM,2022-Q3,41500.0
Manufacturing,HIGH,2022-Q3,41500.0
"Electricity, Gas and Water",LOW,2022-Q3,6597.0
"Electricity, Gas and Water",MEDIUM,2022-Q3,6597.0
"Electricity, Gas and Water",HIGH,2022-Q3,6597.0
Construction,LOW,2022-Q3,16908.0
Construction,MEDIUM,2022-Q3,16908.0
Construction,HIGH,2022-Q3,16908.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2022-Q3,30146.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2022-Q3,30146.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2022-Q3,30146.0
"Transport, Storage & Communication",LOW,2022-Q3,22552.0
"Transport, Storage & Communication",MEDIUM,2022-Q3,22552.0
"Transport, Storage & Communication",HIGH,2022-Q3,22552.0
Real Estate,LOW,2022-Q3,26915.0
Real Estate,MEDIUM,2022-Q3,26915.0
Real Estate,HIGH,2022-Q3,26915.0
"Finance, Insurance and Business services",LOW,2022-Q3,31765.0
"Finance, Insurance and Business services",MEDIUM,2022-Q3,31765.0
"Finance, Insurance and Business services",HIGH,2022-Q3,31765.0
"Community, Social & Personal Services",LOW,2022-Q3,15295.0
"Community, Social & Personal Services",MEDIUM,2022-Q3,15295.0
"Community, Social & Personal Services",HIGH,2022-Q3,15295.0
Government Activities,LOW,2022-Q3,82684.0
Government Activities,MEDIUM,2022-Q3,82684.0
Government Activities,HIGH,2022-Q3,82684.0
Riyadh GDP,LOW,2022-Q3,311827.0
Riyadh GDP,MEDIUM,2022-Q3,311827.0
Riyadh GDP,HIGH,2022-Q3,311827.0
Saudi Arabia GDP,LOW,2022-Q3,878744.0
Saudi Arabia GDP,MEDIUM,2022-Q3,878744.0
Saudi Arabia GDP,HIGH,2022-Q3,878744.0
"Agriculture, Forestry & Fishing",LOW,2022-Q4,14989.0
"Agriculture, Forestry & Fishing",MEDIUM,2022-Q4,14989.0
"Agriculture, Forestry & Fishing",HIGH,2022-Q4,14989.0
Mining & Quarrying,LOW,2022-Q4,15961.0
Mining & Quarrying,MEDIUM,2022-Q4,15961.0
Mining & Quarrying,HIGH,2022-Q4,15961.0
Manufacturing,LOW,2022-Q4,41767.0
Manufacturing,MEDIUM,2022-Q4,41767.0
Manufacturing,HIGH,2022-Q4,41767.0
"Electricity, Gas and Water",LOW,2022-Q4,6813.0
"Electricity, Gas and Water",MEDIUM,2022-Q4,6813.0
"Electricity, Gas and Water",HIGH,2022-Q4,6813.0
Construction,LOW,2022-Q4,16997.0
Construction,MEDIUM,2022-Q4,16997.0
Construction,HIGH,2022-Q4,16997.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2022-Q4,30200.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2022-Q4,30200.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2022-Q4,30200.0
"Transport, Storage & Communication",LOW,2022-Q4,22912.0
"Transport, Storage & Communication",MEDIUM,2022-Q4,22912.0
"Transport, Storage & Communication",HIGH,2022-Q4,22912.0
Real Estate,LOW,2022-Q4,27138.0
Real Estate,MEDIUM,2022-Q4,27138.0
Real Estate,HIGH,2022-Q4,27138.0
"Finance, Insurance and Business services",LOW,2022-Q4,32437.0
"Finance, Insurance and Business services",MEDIUM,2022-Q4,32437.0
"Finance, Insurance and Business services",HIGH,2022-Q4,32437.0
"Community, Social & Personal Services",LOW,2022-Q4,15867.0
"Community, Social & Personal Services",MEDIUM,2022-Q4,15867.0
"Community, Social & Personal Services",HIGH,2022-Q4,15867.0
Government Activities,LOW,2022-Q4,83417.0
Government Activities,MEDIUM,2022-Q4,83417.0
Government Activities,HIGH,2022-Q4,83417.0
Riyadh GDP,LOW,2022-Q4,316096.0
Riyadh GDP,MEDIUM,2022-Q4,316096.0
Riyadh GDP,HIGH,2022-Q4,316096.0
Saudi Arabia GDP,LOW,2022-Q4,892191.0
Saudi Arabia GDP,MEDIUM,2022-Q4,892191.0
Saudi Arabia GDP,HIGH,2022-Q4,892191.0
"Agriculture, Forestry & Fishing",LOW,2023-Q1,15905.0
"Agriculture, Forestry & Fishing",MEDIUM,2023-Q1,15905.0
"Agriculture, Forestry & Fishing",HIGH,2023-Q1,15905.0
Mining & Quarrying,LOW,2023-Q1,16280.0
Mining & Quarrying,MEDIUM,2023-Q1,16280.0
Mining & Quarrying,HIGH,2023-Q1,16280.0
Manufacturing,LOW,2023-Q1,41041.0
Manufacturing,MEDIUM,2023-Q1,41041.0
Manufacturing,HIGH,2023-Q1,41041.0
"Electricity, Gas and Water",LOW,2023-Q1,6796.0
"Electricity, Gas and Water",MEDIUM,2023-Q1,6796.0
"Electricity, Gas and Water",HIGH,2023-Q1,6796.0
Construction,LOW,2023-Q1,17224.0
Construction,MEDIUM,2023-Q1,17224.0
Construction,HIGH,2023-Q1,17224.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2023-Q1,31415.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2023-Q1,31415.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2023-Q1,31415.0
"Transport, Storage & Communication",LOW,2023-Q1,22951.0
"Transport, Storage & Communication",MEDIUM,2023-Q1,22951.0
"Transport, Storage & Communication",HIGH,2023-Q1,22951.0
Real Estate,LOW,2023-Q1,27620.0
Real Estate,MEDIUM,2023-Q1,27620.0
Real Estate,HIGH,2023-Q1,27620.0
"Finance, Insurance and Business services",LOW,2023-Q1,33266.0
"Finance, Insurance and Business services",MEDIUM,2023-Q1,33266.0
"Finance, Insurance and Business services",HIGH,2023-Q1,33266.0
"Community, Social & Personal Services",LOW,2023-Q1,16404.0
"Community, Social & Personal Services",MEDIUM,2023-Q1,16404.0
"Community, Social & Personal Services",HIGH,2023-Q1,16404.0
Government Activities,LOW,2023-Q1,82412.0
Government Activities,MEDIUM,2023-Q1,82412.0
Government Activities,HIGH,2023-Q1,82412.0
Riyadh GDP,LOW,2023-Q1,319326.0
Riyadh GDP,MEDIUM,2023-Q1,319326.0
Riyadh GDP,HIGH,2023-Q1,319326.0
Saudi Arabia GDP,LOW,2023-Q1,878988.0
Saudi Arabia GDP,MEDIUM,2023-Q1,878988.0
Saudi Arabia GDP,HIGH,2023-Q1,878988.0
"Agriculture, Forestry & Fishing",LOW,2023-Q2,16164.0
"Agriculture, Forestry & Fishing",MEDIUM,2023-Q2,16164.0
"Agriculture, Forestry & Fishing",HIGH,2023-Q2,16164.0
Mining & Quarrying,LOW,2023-Q2,20612.0
Mining & Quarrying,MEDIUM,2023-Q2,20612.0
Mining & Quarrying,HIGH,2023-Q2,20612.0
Manufacturing,LOW,2023-Q2,42216.0
Manufacturing,MEDIUM,2023-Q2,42216.0
Manufacturing,HIGH,2023-Q2,42216.0
"Electricity, Gas and Water",LOW,2023-Q2,6658.0
"Electricity, Gas and Water",MEDIUM,2023-Q2,6658.0
"Electricity, Gas and Water",HIGH,2023-Q2,6658.0
Construction,LOW,2023-Q2,17498.0
Construction,MEDIUM,2023-Q2,17498.0
Construction,HIGH,2023-Q2,17498.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2023-Q2,31599.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2023-Q2,31599.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2023-Q2,31599.0
"Transport, Storage & Communication",LOW,2023-Q2,23559.0
"Transport, Storage & Communication",MEDIUM,2023-Q2,23559.0
"Transport, Storage & Communication",HIGH,2023-Q2,23559.0
Real Estate,LOW,2023-Q2,28080.0
Real Estate,MEDIUM,2023-Q2,28080.0
Real Estate,HIGH,2023-Q2,28080.0
"Finance, Insurance and Business services",LOW,2023-Q2,33718.0
"Finance, Insurance and Business services",MEDIUM,2023-Q2,33718.0
"Finance, Insurance and Business services",HIGH,2023-Q2,33718.0
"Community, Social & Personal Services",LOW,2023-Q2,16715.0
"Community, Social & Personal Services",MEDIUM,2023-Q2,16715.0
"Community, Social & Personal Services",HIGH,2023-Q2,16715.0
Government Activities,LOW,2023-Q2,86143.0
Government Activities,MEDIUM,2023-Q2,86143.0
Government Activities,HIGH,2023-Q2,86143.0
Riyadh GDP,LOW,2023-Q2,330728.0
Riyadh GDP,MEDIUM,2023-Q2,330728.0
Riyadh GDP,HIGH,2023-Q2,330728.0
Saudi Arabia GDP,LOW,2023-Q2,879084.0
Saudi Arabia GDP,MEDIUM,2023-Q2,879084.0
Saudi Arabia GDP,HIGH,2023-Q2,879084.0
"Agriculture, Forestry & Fishing",LOW,2023-Q3,8996.0
"Agriculture, Forestry & Fishing",MEDIUM,2023-Q3,8996.0
"Agriculture, Forestry & Fishing",HIGH,2023-Q3,8996.0
Mining & Quarrying,LOW,2023-Q3,21957.0
Mining & Quarrying,MEDIUM,2023-Q3,21957.0
Mining & Quarrying,HIGH,2023-Q3,21957.0
Manufacturing,LOW,2023-Q3,41280.0
Manufacturing,MEDIUM,2023-Q3,41280.0
Manufacturing,HIGH,2023-Q3,41280.0
"Electricity, Gas and Water",LOW,2023-Q3,6878.0
"Electricity, Gas and Water",MEDIUM,2023-Q3,6878.0
"Electricity, Gas and Water",HIGH,2023-Q3,6878.0
Construction,LOW,2023-Q3,18094.0
Construction,MEDIUM,2023-Q3,18094.0
Construction,HIGH,2023-Q3,18094.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2023-Q3,31610.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2023-Q3,31610.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2023-Q3,31610.0
"Transport, Storage & Communication",LOW,2023-Q3,23711.0
"Transport, Storage & Communication",MEDIUM,2023-Q3,23711.0
"Transport, Storage & Communication",HIGH,2023-Q3,23711.0
Real Estate,LOW,2023-Q3,27199.0
Real Estate,MEDIUM,2023-Q3,27199.0
Real Estate,HIGH,2023-Q3,27199.0
"Finance, Insurance and Business services",LOW,2023-Q3,34818.0
"Finance, Insurance and Business services",MEDIUM,2023-Q3,34818.0
"Finance, Insurance and Business services",HIGH,2023-Q3,34818.0
"Community, Social & Personal Services",LOW,2023-Q3,16796.0
"Community, Social & Personal Services",MEDIUM,2023-Q3,16796.0
"Community, Social & Personal Services",HIGH,2023-Q3,16796.0
Government Activities,LOW,2023-Q3,102931.0
Government Activities,MEDIUM,2023-Q3,102931.0
Government Activities,HIGH,2023-Q3,102931.0
Riyadh GDP,LOW,2023-Q3,343019.0
Riyadh GDP,MEDIUM,2023-Q3,343019.0
Riyadh GDP,HIGH,2023-Q3,343019.0
Saudi Arabia GDP,LOW,2023-Q3,858777.0
Saudi Arabia GDP,MEDIUM,2023-Q3,858777.0
Saudi Arabia GDP,HIGH,2023-Q3,858777.0
"Agriculture, Forestry & Fishing",LOW,2023-Q4,9360.0
"Agriculture, Forestry & Fishing",MEDIUM,2023-Q4,9360.0
"Agriculture, Forestry & Fishing",HIGH,2023-Q4,9360.0
Mining & Quarrying,LOW,2023-Q4,23319.0
Mining & Quarrying,MEDIUM,2023-Q4,23319.0
Mining & Quarrying,HIGH,2023-Q4,23319.0
Manufacturing,LOW,2023-Q4,39477.0
Manufacturing,MEDIUM,2023-Q4,39477.0
Manufacturing,HIGH,2023-Q4,39477.0
"Electricity, Gas and Water",LOW,2023-Q4,6569.0
"Electricity, Gas and Water",MEDIUM,2023-Q4,6569.0
"Electricity, Gas and Water",HIGH,2023-Q4,6569.0
Construction,LOW,2023-Q4,18392.0
Construction,MEDIUM,2023-Q4,18392.0
Construction,HIGH,2023-Q4,18392.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2023-Q4,32428.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2023-Q4,32428.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2023-Q4,32428.0
"Transport, Storage & Communication",LOW,2023-Q4,24399.0
"Transport, Storage & Communication",MEDIUM,2023-Q4,24399.0
"Transport, Storage & Communication",HIGH,2023-Q4,24399.0
Real Estate,LOW,2023-Q4,26709.0
Real Estate,MEDIUM,2023-Q4,26709.0
Real Estate,HIGH,2023-Q4,26709.0
"Finance, Insurance and Business services",LOW,2023-Q4,36266.0
"Finance, Insurance and Business services",MEDIUM,2023-Q4,36266.0
"Finance, Insurance and Business services",HIGH,2023-Q4,36266.0
"Community, Social & Personal Services",LOW,2023-Q4,17092.0
"Community, Social & Personal Services",MEDIUM,2023-Q4,17092.0
"Community, Social & Personal Services",HIGH,2023-Q4,17092.0
Government Activities,LOW,2023-Q4,104626.0
Government Activities,MEDIUM,2023-Q4,104626.0
Government Activities,HIGH,2023-Q4,104626.0
Riyadh GDP,LOW,2023-Q4,348251.0
Riyadh GDP,MEDIUM,2023-Q4,348251.0
Riyadh GDP,HIGH,2023-Q4,348251.0
Saudi Arabia GDP,LOW,2023-Q4,853894.0
Saudi Arabia GDP,MEDIUM,2023-Q4,853894.0
Saudi Arabia GDP,HIGH,2023-Q4,853894.0
"Agriculture, Forestry & Fishing",LOW,2024-Q1,11513.0
"Agriculture, Forestry & Fishing",MEDIUM,2024-Q1,11513.0
"Agriculture, Forestry & Fishing",HIGH,2024-Q1,11513.0
Mining & Quarrying,LOW,2024-Q1,24748.0
Mining & Quarrying,MEDIUM,2024-Q1,24748.0
Mining & Quarrying,HIGH,2024-Q1,24748.0
Manufacturing,LOW,2024-Q1,43797.0
Manufacturing,MEDIUM,2024-Q1,43797.0
Manufacturing,HIGH,2024-Q1,43797.0
"Electricity, Gas and Water",LOW,2024-Q1,6027.0
"Electricity, Gas and Water",MEDIUM,2024-Q1,6027.0
"Electricity, Gas and Water",HIGH,2024-Q1,6027.0
Construction,LOW,2024-Q1,18584.0
Construction,MEDIUM,2024-Q1,18584.0
Construction,HIGH,2024-Q1,18584.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2024-Q1,33186.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2024-Q1,33186.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2024-Q1,33186.0
"Transport, Storage & Communication",LOW,2024-Q1,24868.0
"Transport, Storage & Communication",MEDIUM,2024-Q1,24868.0
"Transport, Storage & Communication",HIGH,2024-Q1,24868.0
Real Estate,LOW,2024-Q1,27091.0
Real Estate,MEDIUM,2024-Q1,27091.0
Real Estate,HIGH,2024-Q1,27091.0
"Finance, Insurance and Business services",LOW,2024-Q1,35987.0
"Finance, Insurance and Business services",MEDIUM,2024-Q1,35987.0
"Finance, Insurance and Business services",HIGH,2024-Q1,35987.0
"Community, Social & Personal Services",LOW,2024-Q1,17200.0
"Community, Social & Personal Services",MEDIUM,2024-Q1,17200.0
"Community, Social & Personal Services",HIGH,2024-Q1,17200.0
Government Activities,LOW,2024-Q1,104121.0
Government Activities,MEDIUM,2024-Q1,104121.0
Government Activities,HIGH,2024-Q1,104121.0
Riyadh GDP,LOW,2024-Q1,356777.0
Riyadh GDP,MEDIUM,2024-Q1,356777.0
Riyadh GDP,HIGH,2024-Q1,356777.0
Saudi Arabia GDP,LOW,2024-Q1,865507.0
Saudi Arabia GDP,MEDIUM,2024-Q1,865507.0
Saudi Arabia GDP,HIGH,2024-Q1,865507.0
"Agriculture, Forestry & Fishing",LOW,2024-Q2,11761.0
"Agriculture, Forestry & Fishing",MEDIUM,2024-Q2,11916.0
"Agriculture, Forestry & Fishing",HIGH,2024-Q2,12089.0
Mining & Quarrying,LOW,2024-Q2,25280.0
Mining & Quarrying,MEDIUM,2024-Q2,25614.0
Mining & Quarrying,HIGH,2024-Q2,25985.0
Manufacturing,LOW,2024-Q2,44739.0
Manufacturing,MEDIUM,2024-Q2,45330.0
Manufacturing,HIGH,2024-Q2,45987.0
"Electricity, Gas and Water",LOW,2024-Q2,6157.0
"Electricity, Gas and Water",MEDIUM,2024-Q2,6238.0
"Electricity, Gas and Water",HIGH,2024-Q2,6328.0
Construction,LOW,2024-Q2,18984.0
Construction,MEDIUM,2024-Q2,19235.0
Construction,HIGH,2024-Q2,19513.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2024-Q2,33899.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2024-Q2,34347.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2024-Q2,34845.0
"Transport, Storage & Communication",LOW,2024-Q2,25403.0
"Transport, Storage & Communication",MEDIUM,2024-Q2,25739.0
"Transport, Storage & Communication",HIGH,2024-Q2,26112.0
Real Estate,LOW,2024-Q2,27673.0
Real Estate,MEDIUM,2024-Q2,28039.0
Real Estate,HIGH,2024-Q2,28446.0
"Finance, Insurance and Business services",LOW,2024-Q2,36760.0
"Finance, Insurance and Business services",MEDIUM,2024-Q2,37246.0
"Finance, Insurance and Business services",HIGH,2024-Q2,37786.0
"Community, Social & Personal Services",LOW,2024-Q2,17570.0
"Community, Social & Personal Services",MEDIUM,2024-Q2,17802.0
"Community, Social & Personal Services",HIGH,2024-Q2,18060.0
Government Activities,LOW,2024-Q2,106359.0
Government Activities,MEDIUM,2024-Q2,107765.0
Government Activities,HIGH,2024-Q2,109327.0
Riyadh GDP,LOW,2024-Q2,364448.0
Riyadh GDP,MEDIUM,2024-Q2,369264.0
Riyadh GDP,HIGH,2024-Q2,374616.0
Saudi Arabia GDP,LOW,2024-Q2,884115.0
Saudi Arabia GDP,MEDIUM,2024-Q2,895799.0
Saudi Arabia GDP,HIGH,2024-Q2,908782.0
"Agriculture, Forestry & Fishing",LOW,2024-Q3,12014.0
"Agriculture, Forestry & Fishing",MEDIUM,2024-Q3,12333.0
"Agriculture, Forestry & Fishing",HIGH,2024-Q3,12693.0
Mining & Quarrying,LOW,2024-Q3,25824.0
Mining & Quarrying,MEDIUM,2024-Q3,26511.0
Mining & Quarrying,HIGH,2024-Q3,27285.0
Manufacturing,LOW,2024-Q3,45701.0
Manufacturing,MEDIUM,2024-Q3,46917.0
Manufacturing,HIGH,2024-Q3,48286.0
"Electricity, Gas and Water",LOW,2024-Q3,6289.0
"Electricity, Gas and Water",MEDIUM,2024-Q3,6456.0
"Electricity, Gas and Water",HIGH,2024-Q3,6645.0
Construction,LOW,2024-Q3,19392.0
Construction,MEDIUM,2024-Q3,19908.0
Construction,HIGH,2024-Q3,20489.0
"Wholesale & Retail Trade, Restaurants & hotels",LOW,2024-Q3,34628.0
"Wholesale & Retail Trade, Restaurants & hotels",MEDIUM,2024-Q3,35550.0
"Wholesale & Retail Trade, Restaurants & hotels",HIGH,2024-Q3,36587.0
"Transport, Storage & Communication",LOW,2024-Q3,25949.0
"Transport, Storage & Communication",MEDIUM,2024-Q3,26640.0
"Transport, Storage & Communication",HIGH,2024-Q3,27417.0
Real Estate,LOW,2024-Q3,28268.0
Real Estate,MEDIUM,2024-Q3,29021.0
Real Estate,HIGH,2024-Q3,29868.0
"Finance, Insurance and Business services",LOW,2024-Q3,37551.0
"Finance, Insurance and Business services",MEDIUM,2024-Q3,38550.0
"Finance, Insurance and Business services",HIGH,2024-Q3,39675.0
"Community, Social & Personal Services",LOW,2024-Q3,17948.0
"Community, Social & Personal Services",MEDIUM,2024-Q3,18425.0
"Community, Social & Personal Services",HIGH,2024-Q3,18963.0
Government Activities,LOW,2024-Q3,108646.0
Government Activities,MEDIUM,2024-Q3,111537.0
Government Activities,HIGH,2024-Q3,114793.0
Riyadh GDP,LOW,2024-Q3,372283.0
Riyadh GDP,MEDIUM,2024-Q3,382188.0
Riyadh GDP,HIGH,2024-Q3,393347.0
