id,GOSI_classification,OutPut Classification,Quarter,Region,Value
588,Education,"Community, Social & Personal Services",2020-Q2,Riyadh,62967
589,Human health and social work activities,"Community, Social & Personal Services",2020-Q2,Riyadh,140679
590,"Arts, entertainment and recreation","Community, Social & Personal Services",2020-Q2,Riyadh,8856
608,Administrative and support service activities,"Community, Social & Personal Services",2020-Q3,Riyadh,679973
610,Education,"Community, Social & Personal Services",2020-Q3,Riyadh,61435
611,Human health and social work activities,"Community, Social & Personal Services",2020-Q3,Riyadh,141226
612,"Arts, entertainment and recreation","Community, Social & Personal Services",2020-Q3,Riyadh,9085
630,Administrative and support service activities,"Community, Social & Personal Services",2021-Q4,Riyadh,679973
632,Education,"Community, Social & Personal Services",2021-Q4,Riyadh,61435
633,Human health and social work activities,"Community, Social & Personal Services",2021-Q4,Riyadh,141226
634,"Arts, entertainment and recreation","Community, Social & Personal Services",2021-Q4,Riyadh,9085
652,Administrative and support service activities,"Community, Social & Personal Services",2021-Q1,Riyadh,679973
654,Education,"Community, Social & Personal Services",2021-Q1,Riyadh,61435
655,Human health and social work activities,"Community, Social & Personal Services",2021-Q1,Riyadh,141226
656,"Arts, entertainment and recreation","Community, Social & Personal Services",2021-Q1,Riyadh,9085
674,Administrative and support service activities,"Community, Social & Personal Services",2021-Q2,Riyadh,679973
676,Education,"Community, Social & Personal Services",2021-Q2,Riyadh,61435
677,Human health and social work activities,"Community, Social & Personal Services",2021-Q2,Riyadh,141226
678,"Arts, entertainment and recreation","Community, Social & Personal Services",2021-Q2,Riyadh,9085
696,Administrative and support service activities,"Community, Social & Personal Services",2021-Q3,Riyadh,589751
698,Education,"Community, Social & Personal Services",2021-Q3,Riyadh,60382
699,Human health and social work activities,"Community, Social & Personal Services",2021-Q3,Riyadh,162699
700,"Arts, entertainment and recreation","Community, Social & Personal Services",2021-Q3,Riyadh,11996
718,Administrative and support service activities,"Community, Social & Personal Services",2021-Q4,Riyadh,589751
720,Education,"Community, Social & Personal Services",2021-Q4,Riyadh,60382
721,Human health and social work activities,"Community, Social & Personal Services",2021-Q4,Riyadh,162699
722,"Arts, entertainment and recreation","Community, Social & Personal Services",2021-Q4,Riyadh,11996
740,Administrative and support service activities,"Community, Social & Personal Services",2022-Q1,Riyadh,643023
742,Education,"Community, Social & Personal Services",2022-Q1,Riyadh,64349
743,Human health and social work activities,"Community, Social & Personal Services",2022-Q1,Riyadh,156299
744,"Arts, entertainment and recreation","Community, Social & Personal Services",2022-Q1,Riyadh,13501
762,Administrative and support service activities,"Community, Social & Personal Services",2022-Q2,Riyadh,695703
764,Education,"Community, Social & Personal Services",2022-Q2,Riyadh,88371
765,Human health and social work activities,"Community, Social & Personal Services",2022-Q2,Riyadh,165679
766,"Arts, entertainment and recreation","Community, Social & Personal Services",2022-Q2,Riyadh,13535
784,Administrative and support service activities,"Community, Social & Personal Services",2022-Q3,Riyadh,682634
786,Education,"Community, Social & Personal Services",2022-Q3,Riyadh,83147
787,Human health and social work activities,"Community, Social & Personal Services",2022-Q3,Riyadh,179562
788,"Arts, entertainment and recreation","Community, Social & Personal Services",2022-Q3,Riyadh,14791
806,Administrative and support service activities,"Community, Social & Personal Services",2022-Q4,Riyadh,686868
808,Education,"Community, Social & Personal Services",2022-Q4,Riyadh,84848
809,Human health and social work activities,"Community, Social & Personal Services",2022-Q4,Riyadh,184016
810,"Arts, entertainment and recreation","Community, Social & Personal Services",2022-Q4,Riyadh,14998
828,Administrative and support service activities,"Community, Social & Personal Services",2023-Q1,Riyadh,701252
830,Education,"Community, Social & Personal Services",2023-Q1,Riyadh,87513
831,Human health and social work activities,"Community, Social & Personal Services",2023-Q1,Riyadh,189128
832,"Arts, entertainment and recreation","Community, Social & Personal Services",2023-Q1,Riyadh,15602
850,Administrative and support service activities,"Community, Social & Personal Services",2023-Q2,Riyadh,685259
852,Education,"Community, Social & Personal Services",2023-Q2,Riyadh,85458
853,Human health and social work activities,"Community, Social & Personal Services",2023-Q2,Riyadh,183838
854,"Arts, entertainment and recreation","Community, Social & Personal Services",2023-Q2,Riyadh,15346
872,Administrative and support service activities,"Community, Social & Personal Services",2023-Q3,Riyadh,658045
874,Education,"Community, Social & Personal Services",2023-Q3,Riyadh,94384
875,Human health and social work activities,"Community, Social & Personal Services",2023-Q3,Riyadh,185627
876,"Arts, entertainment and recreation","Community, Social & Personal Services",2023-Q3,Riyadh,14878
894,Administrative and support service activities,"Community, Social & Personal Services",2023-Q4,Riyadh,648078
896,Education,"Community, Social & Personal Services",2023-Q4,Riyadh,95768
897,Human health and social work activities,"Community, Social & Personal Services",2023-Q4,Riyadh,186614
898,"Arts, entertainment and recreation","Community, Social & Personal Services",2023-Q4,Riyadh,15203
916,Administrative and support service activities,"Community, Social & Personal Services",2024-Q1,Riyadh,670904
918,Education,"Community, Social & Personal Services",2024-Q1,Riyadh,98900
919,Human health and social work activities,"Community, Social & Personal Services",2024-Q1,Riyadh,189569
920,"Arts, entertainment and recreation","Community, Social & Personal Services",2024-Q1,Riyadh,15536
441,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2024-Q1,KSA,164292
442,Mining and quarrying,Mining & Quarrying,2024-Q1,KSA,173925
443,Manufacturing,Manufacturing,2024-Q1,KSA,1298422
444,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2024-Q1,KSA,40294
445,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2024-Q1,KSA,138035
446,Construction,Construction,2024-Q1,KSA,2816018
447,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2024-Q1,KSA,1647023
448,Transportation and storage,"Transport, Storage & Communication",2024-Q1,KSA,550184
449,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2024-Q1,KSA,681367
450,Information and communication,"Transport, Storage & Communication",2024-Q1,KSA,110795
451,Financial and insurance activities,"Finance , Insurance and Business sevices",2024-Q1,KSA,96478
452,Real estate activities,Real Estate,2024-Q1,KSA,54389
453,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2024-Q1,KSA,250588
903,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2024-Q1,Riyadh,84161
904,Mining and quarrying,Mining & Quarrying,2024-Q1,Riyadh,20235
905,Manufacturing,Manufacturing,2024-Q1,Riyadh,546108
906,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2024-Q1,Riyadh,14118
907,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2024-Q1,Riyadh,75526
908,Construction,Construction,2024-Q1,Riyadh,1177363
909,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2024-Q1,Riyadh,608841
910,Transportation and storage,"Transport, Storage & Communication",2024-Q1,Riyadh,255678
911,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2024-Q1,Riyadh,217898
